word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
ต่างประเทศ,เทศ,thet,th,e,t,True,tʰeːt3,theet2
ไอติม,ไอ,ai,,ai,,False,ʔaj1,?aj0
ไอติม,ติม,tim,t,i,m,False,tim1,tim0
สิทธิ์,สิทธิ์,sit,s,i,t,False,sit2,sit1
นิดหน่อย,นิด,nit,n,i,t,False,nit4,nit3
นิดหน่อย,หน่อย,noi,n,oi,,True,nᴐːj2,nOOj1
เสียดาย,เสีย,sia,s,ia,,True,siːa5,siia4
เสียดาย,ดาย,dai,d,ai,,True,daːj1,daaj0
ยืน,ยืน,yuen,y,ue,n,True,jɯːn1,jUUn0
สาร,สาร,san,s,a,n,True,saːn5,saan4
เนียน,เนียน,nian,n,ia,n,True,niːan1,niian0
อ้วน,อ้วน,uan,,ua,n,True,ʔuːan3,?uuan2
ตัง,ตัง,tang,t,a,ng,False,taŋ1,taN0
สภาพ,สภาพ,saphap,s,apha,p,True,sa2,sa1'phaap2
กันแดด,กัน,kan,k,a,n,False,kan1,kan0
กันแดด,แดด,daet,d,ae,t,True,dɛːt2,dxxt1
ประเภท,ประ,pra,pr,a,,False,pra2,pra1
ประเภท,เภท,phet,ph,e,t,True,pʰeːt3,pheet2
ไอศกรีม,ไอ,ai,,ai,,False,ʔaj1,?aj0
ไอศกรีม,ศกรีม,sakrim,s,akri,m,True,sa2,sa1'kriim0
ซูชิ,ซู,su,s,u,,True,suː1,suu0
ซูชิ,ชิ,chi,ch,i,,False,cʰi4,chi3
ดำเนิน,ดำ,dam,d,a,m,False,dam1,dam0
ดำเนิน,เนิน,noen,n,oe,n,True,nɤːn1,n@@n0
เจ้าของร้าน,เจ้า,chao,ch,ao,,True,caːw3,caaw2
เจ้าของร้าน,ของ,khong,kh,o,ng,True,kʰᴐːŋ5,khOON4
เจ้าของร้าน,ร้าน,ran,r,a,n,True,raːn4,raan3
ยี่ห้อ,ยี่,yi,y,i,,True,jiː3,jii2
ยี่ห้อ,ห้อ,ho,h,o,,True,hᴐː3,hOO2
มือ,มือ,mue,m,ue,,True,mɯː1,mUU0
จนถึง,จน,chon,ch,o,n,False,con1,con0
จนถึง,ถึง,thueng,th,ue,ng,False,tʰɯŋ5,thUN4
ปลาหมึก,ปลา,pla,pl,a,,True,plaː1,plaa0
ปลาหมึก,หมึก,muek,m,ue,k,False,mɯk2,mUk1
ยึด,ยึด,yuet,y,ue,t,False,jɯt4,jUt3
ลิป,ลิป,lip,l,i,p,False,lip4,lip3
เสาร์,เสาร์,sao,s,ao,,False,saw5,saw4
ยย,ย,yo,y,o,,True,jᴐː1,jOO0
ยย,ย,yo,y,o,,True,jᴐː1,jOO0
จืด,จืด,chuet,ch,ue,t,True,cɯːt2,cUUt1
ผู้นำ,ผู้,phu,ph,u,,True,pʰuː3,phuu2
ผู้นำ,นำ,nam,n,a,m,False,nam1,nam0
คนใน,คน,khon,kh,o,n,False,kʰon1,khon0
คนใน,ใน,nai,n,ai,,False,naj1,naj0
ร่วมกับ,ร่วม,ruam,r,ua,m,True,ruːam3,ruuam2
ร่วมกับ,กับ,kap,k,a,p,False,kap2,kap1
ประกอบ,ประ,pra,pr,a,,False,pra2,pra1
ประกอบ,กอบ,kop,k,o,p,True,kᴐːp2,kOOp1
นำเสนอ,นำ,nam,n,a,m,False,nam1,nam0
นำเสนอ,เสนอ,sanoe,s,anoe,,True,sa2,sa1'n@@4
ออนไลน์,ออน,on,,o,n,True,ʔᴐːn1,?OOn0
ออนไลน์,ไลน์,lai,l,ai,,False,laj1,laj0
อีกครั้ง,อีก,ik,,i,k,True,ʔiːk2,?iik1
อีกครั้ง,ครั้ง,khrang,khr,a,ng,False,kʰraŋ4,khraN3
ป่า,ป่า,pa,p,a,,True,paː2,paa1
เจรจา,เจ,che,ch,e,,True,ceː1,cee0
เจรจา,รจา,racha,r,acha,,True,ra4,ra3'caa0
พวกเรา,พวก,phuak,ph,ua,k,True,pʰuːak3,phuuak2
พวกเรา,เรา,rao,r,ao,,False,raw1,raw0
ไว,ไว,wai,w,ai,,False,waj1,waj0
ฝาก,ฝาก,fak,f,a,k,True,faːk2,faak1
จา,จา,cha,ch,a,,True,caː1,caa0
บางคน,บาง,bang,b,a,ng,True,baːŋ1,baaN0
บางคน,คน,khon,kh,o,n,False,kʰon1,khon0
ถูกใจ,ถูก,thuk,th,u,k,True,tʰuːk2,thuuk1
ถูกใจ,ใจ,chai,ch,ai,,False,caj1,caj0
จำนวนมาก,จำ,cham,ch,a,m,False,cam1,cam0
จำนวนมาก,นวน,nuan,n,ua,n,True,nuːan1,nuuan0
จำนวนมาก,มาก,mak,m,a,k,True,maːk3,maak2
แบ่ง,แบ่ง,baeng,b,ae,ng,True,bɛːŋ2,bxxN1
เริ่มต้น,เริ่ม,roem,r,oe,m,True,rɤːm3,r@@m2
เริ่มต้น,ต้น,ton,t,o,n,False,ton3,ton2
แทบ,แทบ,thaep,th,ae,p,True,tʰɛːp3,thxxp2
เก,เก,ke,k,e,,True,keː1,kee0
เกาหลี,เกา,kao,k,ao,,False,kaw1,kaw0
เกาหลี,หลี,li,l,i,,True,liː5,lii4
ศุกร์,ศุกร์,suk,s,u,k,False,suk2,suk1
อีกด้วย,อีก,ik,,i,k,True,ʔiːk2,?iik1
อีกด้วย,ด้วย,duai,d,uai,,True,duːaj3,duuaj2
อันดับ,อัน,an,,a,n,False,ʔan1,?an0
อันดับ,ดับ,dap,d,a,p,False,dap2,dap1
ปา,ปา,pa,p,a,,True,paː1,paa0
ถ่ายรูป,ถ่าย,thai,th,ai,,True,tʰaːj2,thaaj1
ถ่ายรูป,รูป,rup,r,u,p,True,ruːp3,ruup2
เว็บไซต์,เว็บ,wep,w,e,p,False,wep4,wep3
เว็บไซต์,ไซต์,sai,s,ai,,False,saj1,saj0
สี่,สี่,si,s,i,,True,siː2,sii1
ชนิด,ชนิด,chanit,ch,ani,t,False,cʰa4,cha3'nit3
รับรอง,รับ,rap,r,a,p,False,rap4,rap3
รับรอง,รอง,rong,r,o,ng,True,rᴐːŋ1,rOON0
พร้อมกับ,พร้อม,phrom,phr,o,m,True,pʰrᴐːm4,phrOOm3
พร้อมกับ,กับ,kap,k,a,p,False,kap2,kap1
ตอนแรก,ตอน,ton,t,o,n,True,tᴐːn1,tOOn0
ตอนแรก,แรก,raek,r,ae,k,True,rɛːk3,rxxk2
พัก,พัก,phak,ph,a,k,False,pʰak4,phak3
ซิ,ซิ,si,s,i,,False,si4,si3
แต่ง,แต่ง,taeng,t,ae,ng,True,tɛːŋ2,txxN1
แข็ง,แข็ง,khaeng,kh,ae,ng,False,kʰɛŋ5,khxN4
ต่างกัน,ต่าง,tang,t,a,ng,True,taːŋ2,taaN1
ต่างกัน,กัน,kan,k,a,n,False,kan1,kan0
