word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
บริเวณ,บริ,bori,b,ori,,True,bᴐː1,bOO0'ri3
บริเวณ,เวณ,wen,w,e,n,True,ri4,ween0
นาง,นาง,nang,n,a,ng,True,naːŋ1,naaN0
กำหนด,กำ,kam,k,a,m,False,kam1,kam0
กำหนด,หนด,not,n,o,t,False,not2,not1
แน่น,แน่น,naen,n,ae,n,True,nɛːn3,nxxn2
เข้าใจ,เข้า,khao,kh,ao,,False,kʰaw3,khaw2
เข้าใจ,ใจ,chai,ch,ai,,False,caj1,caj0
โดยเฉพาะ,โดย,doi,d,oi,,True,doːj1,dooj0
โดยเฉพาะ,เฉพาะ,chapho,ch,apho,,False,cʰa2,cha1'phO3
ทางการเมือง,ทาง,thang,th,a,ng,True,tʰaːŋ1,thaaN0
ทางการเมือง,การ,kan,k,a,n,True,kaːn1,kaan0
ทางการเมือง,เมือง,mueang,m,uea,ng,True,mɯːaŋ1,mUUaN0
เชียงใหม่,เชียง,chiang,ch,ia,ng,True,cʰiːaŋ1,chiiaN0
เชียงใหม่,ใหม่,mai,m,ai,,False,maj2,maj1
เลี้ยง,เลี้ยง,liang,l,ia,ng,True,liːaŋ4,liiaN3
รี่,รี่,ri,r,i,,True,riː3,rii2
ชาว,ชาว,chao,ch,ao,,True,cʰaːw1,chaaw0
ดำเนินการ,ดำ,dam,d,a,m,False,dam1,dam0
ดำเนินการ,เนิน,noen,n,oe,n,True,nɤːn1,n@@n0
ดำเนินการ,การ,kan,k,a,n,True,kaːn1,kaan0
สนับสนุน,สนับ,sanap,s,ana,p,False,sa2,sa1'nap1
สนับสนุน,สนุน,sanun,s,anu,n,False,nap2,sa1'nun4
ตั้งอยู่,ตั้ง,tang,t,a,ng,False,taŋ3,taN2
ตั้งอยู่,อยู่,yu,y,u,,True,juː2,juu1
ครอบครัว,ครอบ,khrop,khr,o,p,True,kʰrᴐːp3,khrOOp2
ครอบครัว,ครัว,khrua,khr,ua,,True,kʰruːa1,khruua0
ต้มยำ,ต้ม,tom,t,o,m,False,tom3,tom2
